Gene_ID,Control_1,Control_2,Control_3,KO_1,KO_2,KO_3
ENSMUSG00000102198,0,2,0,0,0,0
ENSMUSG00000004768,708.23785,848.1226,958.91895,1170.2808,1211.6852,1489.8966
ENSMUSG00000042215,753.35516,774.2993,1109.281,730.8129,847.4595,881.12427
ENSMUSG00000103072,28.872448,16.177279,3.2394066,19.777737,1.1889881,6.2410173
ENSMUSG00000042197,1436.5118,2459.1543,2495.7937,2375.2153,2233.8425,2697.4473
ENSMUSG00000081402,24.333336,24.333336,33.333332,20,32.333336,44
ENSMUSG00000042182,18.291391,18.139072,20,26,40,44.013245
ENSMUSG00000104416,0,0,0,2,0,0
ENSMUSG00000026131,17295.854,33761.977,35228.234,24795.572,27758.824,23956.072
ENSMUSG00000103888,0,0,0,0,0,0
ENSMUSG00000103596,0,0,0,0,0,0
ENSMUSG00000099382,0,0,0,0,0,0
ENSMUSG00000084506,0,0,0,0,0,0
ENSMUSG00000103364,46.23937,44.057087,42.420593,23.565475,32.960583,43.542713
ENSMUSG00000105982,0.33112583,0,0.79112583,0,0,0
ENSMUSG00000096992,177.29292,269.9462,369.09402,217.9217,253.9542,308.70602
ENSMUSG00000104475,441.15723,1151.4492,1186.0673,935.1122,855.8747,660.73895
ENSMUSG00000103001,6.4124093,13.275577,16.396858,7.460862,16.050009,3.2012322
